0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 
0, 0, 0, 1, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 
0, 0, 0, 1, 8, 13, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 
0, 0, 0, 1, 16, 34, 41, 42, 42, 42, 42, 42, 42, 42, 42, 42, 
0, 0, 0, 1, 32, 89, 122, 131, 132, 132, 132, 132, 132, 132, 132, 132, 
0, 0, 0, 1, 64, 233, 365, 417, 428, 429, 429, 429, 429, 429, 429, 429, 
0, 0, 0, 1, 128, 610, 1094, 1341, 1416, 1429, 1430, 1430, 1430, 1430, 1430, 1430, 
0, 0, 0, 1, 256, 1597, 3281, 4334, 4744, 4846, 4861, 4862, 4862, 4862, 4862, 4862, 
0, 0, 0, 1, 512, 4181, 9842, 14041, 16016, 16645, 16778, 16795, 16796, 16796, 16796, 16796, 
0, 0, 0, 1, 1024, 10946, 29525, 45542, 54320, 57686, 58598, 58766, 58785, 58786, 58786, 58786, 
0, 0, 0, 1, 2048, 28657, 88574, 147798, 184736, 201158, 206516, 207783, 207990, 208011, 208012, 208012, 
0, 0, 0, 1, 4096, 75025, 265721, 479779, 629280, 704420, 732825, 740924, 742626, 742876, 742899, 742900, 
0, 0, 0, 1, 8192, 196418, 797162, 1557649, 2145600, 2473785, 2613834, 2660139, 2671892, 2674117, 2674414, 2674439, 
